Episode 108: steps,35, reward,-35.0, global_total_steps,37508
Episode 109: steps,42, reward,-42.0, global_total_steps,37550
Episode 110: steps,37, reward,-37.0, global_total_steps,37587
Episode 111: steps,123, reward,-717.0, global_total_steps,37710
Episode 112: steps,37, reward,-136.0, global_total_steps,37747
Episode 113: steps,52, reward,-151.0, global_total_steps,37799
Episode 114: steps,162, reward,-1152.0, global_total_steps,37961
Episode 115: steps,447, reward,-3318.0, global_total_steps,38408
Episode 116: steps,47, reward,-47.0, global_total_steps,38455
Episode 117: steps,147, reward,-939.0, global_total_steps,38602
Episode 118: steps,332, reward,-2213.0, global_total_steps,38934
Episode 119: steps,61, reward,-259.0, global_total_steps,38995
Episode 120: steps,115, reward,-511.0, global_total_steps,39110
Episode 121: steps,162, reward,-1152.0, global_total_steps,39272
Episode 122: steps,126, reward,-522.0, global_total_steps,39398
Episode 123: steps,227, reward,-1712.0, global_total_steps,39625
Episode 124: steps,80, reward,-278.0, global_total_steps,39705
Episode 125: steps,44, reward,-44.0, global_total_steps,39749
Episode 126: steps,69, reward,-267.0, global_total_steps,39818
Episode 127: steps,309, reward,-1992.0, global_total_steps,40127
Episode 128: steps,121, reward,-616.0, global_total_steps,40248
Episode 129: steps,82, reward,-478.0, global_total_steps,40330
Episode 130: steps,46, reward,-145.0, global_total_steps,40376
Episode 131: steps,251, reward,-1637.0, global_total_steps,40627
Episode 132: steps,221, reward,-1508.0, global_total_steps,40848
Episode 133: steps,44, reward,-143.0, global_total_steps,40892
Episode 134: steps,167, reward,-1256.0, global_total_steps,41059
Episode 135: steps,213, reward,-1401.0, global_total_steps,41272
Episode 136: steps,211, reward,-1597.0, global_total_steps,41483
Episode 137: steps,94, reward,-490.0, global_total_steps,41577
Episode 138: steps,150, reward,-1041.0, global_total_steps,41727
Episode 139: steps,85, reward,-184.0, global_total_steps,41812
Episode 140: steps,76, reward,-472.0, global_total_steps,41888
Episode 141: steps,180, reward,-1863.0, global_total_steps,42068
Episode 142: steps,35, reward,-35.0, global_total_steps,42103
Episode 143: steps,56, reward,-254.0, global_total_steps,42159
Episode 144: steps,76, reward,-373.0, global_total_steps,42235
Episode 145: steps,220, reward,-1606.0, global_total_steps,42455
Episode 146: steps,31, reward,-31.0, global_total_steps,42486
Episode 147: steps,35, reward,-35.0, global_total_steps,42521
Episode 148: steps,84, reward,-678.0, global_total_steps,42605
Episode 149: steps,81, reward,-477.0, global_total_steps,42686
Episode 150: steps,96, reward,-690.0, global_total_steps,42782
Episode 151: steps,58, reward,-256.0, global_total_steps,42840
Episode 152: steps,185, reward,-977.0, global_total_steps,43025
Episode 153: steps,31, reward,-31.0, global_total_steps,43056
Episode 154: steps,210, reward,-1893.0, global_total_steps,43266
Episode 155: steps,174, reward,-1362.0, global_total_steps,43440
Episode 156: steps,115, reward,-1006.0, global_total_steps,43555
Episode 157: steps,241, reward,-1726.0, global_total_steps,43796
Episode 158: steps,60, reward,-258.0, global_total_steps,43856
Episode 159: steps,76, reward,-274.0, global_total_steps,43932
Episode 160: steps,192, reward,-1281.0, global_total_steps,44124
Episode 161: steps,137, reward,-731.0, global_total_steps,44261
Episode 162: steps,47, reward,-146.0, global_total_steps,44308
Episode 163: steps,56, reward,-155.0, global_total_steps,44364
Episode 164: steps,42, reward,-42.0, global_total_steps,44406
Episode 165: steps,32, reward,-131.0, global_total_steps,44438
Episode 166: steps,245, reward,-1334.0, global_total_steps,44683
