Episode 102: steps = 104, reward = -599.0, global_total_steps = 15992
Episode 103: steps = 29, reward = -29.0, global_total_steps = 16021
Episode 104: steps = 29, reward = -128.0, global_total_steps = 16050
Episode 105: steps = 22, reward = -22.0, global_total_steps = 16072
Episode 106: steps = 39, reward = -39.0, global_total_steps = 16111
Episode 107: steps = 38, reward = -137.0, global_total_steps = 16149
Episode 108: steps = 114, reward = -1104.0, global_total_steps = 16263
Episode 109: steps = 28, reward = -28.0, global_total_steps = 16291
Episode 110: steps = 26, reward = -26.0, global_total_steps = 16317
Episode 111: steps = 82, reward = -676.0, global_total_steps = 16399
Episode 112: steps = 25, reward = -25.0, global_total_steps = 16424
Episode 113: steps = 53, reward = -548.0, global_total_steps = 16477
Episode 114: steps = 50, reward = -446.0, global_total_steps = 16527
Episode 115: steps = 212, reward = -1697.0, global_total_steps = 16739
Episode 116: steps = 57, reward = -453.0, global_total_steps = 16796
Episode 117: steps = 119, reward = -515.0, global_total_steps = 16915
Episode 118: steps = 30, reward = -129.0, global_total_steps = 16945
Episode 119: steps = 46, reward = -145.0, global_total_steps = 16991
Episode 120: steps = 35, reward = -134.0, global_total_steps = 17026
Episode 121: steps = 83, reward = -479.0, global_total_steps = 17109
Episode 122: steps = 67, reward = -661.0, global_total_steps = 17176
Episode 123: steps = 86, reward = -779.0, global_total_steps = 17262
Episode 124: steps = 28, reward = -28.0, global_total_steps = 17290
Episode 125: steps = 26, reward = -26.0, global_total_steps = 17316
Episode 126: steps = 174, reward = -1263.0, global_total_steps = 17490
Episode 127: steps = 39, reward = -237.0, global_total_steps = 17529
Episode 128: steps = 39, reward = -138.0, global_total_steps = 17568
Episode 129: steps = 102, reward = -597.0, global_total_steps = 17670
Episode 130: steps = 103, reward = -598.0, global_total_steps = 17773
Episode 131: steps = 31, reward = -229.0, global_total_steps = 17804
Episode 132: steps = 22, reward = -22.0, global_total_steps = 17826
Episode 133: steps = 58, reward = -256.0, global_total_steps = 17884
Episode 134: steps = 51, reward = -348.0, global_total_steps = 17935
Episode 135: steps = 40, reward = -238.0, global_total_steps = 17975
Episode 136: steps = 51, reward = -249.0, global_total_steps = 18026
Episode 137: steps = 194, reward = -1382.0, global_total_steps = 18220
Episode 138: steps = 45, reward = -243.0, global_total_steps = 18265
Episode 139: steps = 183, reward = -1569.0, global_total_steps = 18448
Episode 140: steps = 36, reward = -135.0, global_total_steps = 18484
Episode 141: steps = 79, reward = -673.0, global_total_steps = 18563
Episode 142: steps = 40, reward = -139.0, global_total_steps = 18603
Episode 143: steps = 26, reward = -26.0, global_total_steps = 18629
Episode 144: steps = 68, reward = -464.0, global_total_steps = 18697
Episode 145: steps = 26, reward = -125.0, global_total_steps = 18723
Episode 146: steps = 26, reward = -26.0, global_total_steps = 18749
Episode 147: steps = 25, reward = -25.0, global_total_steps = 18774
Episode 148: steps = 89, reward = -881.0, global_total_steps = 18863
Episode 149: steps = 69, reward = -465.0, global_total_steps = 18932
Episode 150: steps = 48, reward = -246.0, global_total_steps = 18980
Episode 151: steps = 160, reward = -1051.0, global_total_steps = 19140
Episode 152: steps = 33, reward = -231.0, global_total_steps = 19173
Episode 153: steps = 40, reward = -139.0, global_total_steps = 19213
Episode 154: steps = 26, reward = -26.0, global_total_steps = 19239
Episode 155: steps = 26, reward = -26.0, global_total_steps = 19265
Episode 156: steps = 26, reward = -26.0, global_total_steps = 19291
Episode 157: steps = 41, reward = -338.0, global_total_steps = 19332
Episode 158: steps = 180, reward = -1566.0, global_total_steps = 19512
Episode 159: steps = 25, reward = -25.0, global_total_steps = 19537
Episode 160: steps = 29, reward = -128.0, global_total_steps = 19566
Episode 161: steps = 25, reward = -124.0, global_total_steps = 19591
Episode 162: steps = 54, reward = -153.0, global_total_steps = 19645
Episode 163: steps = 22, reward = -22.0, global_total_steps = 19667
Episode 164: steps = 55, reward = -451.0, global_total_steps = 19722
Episode 165: steps = 153, reward = -1242.0, global_total_steps = 19875
Episode 166: steps = 32, reward = -131.0, global_total_steps = 19907
Episode 167: steps = 42, reward = -141.0, global_total_steps = 19949
Episode 168: steps = 39, reward = -138.0, global_total_steps = 19988
Episode 169: steps = 24, reward = -24.0, global_total_steps = 20012
Episode 170: steps = 34, reward = -232.0, global_total_steps = 20046
Episode 171: steps = 22, reward = -22.0, global_total_steps = 20068
Episode 172: steps = 38, reward = -137.0, global_total_steps = 20106
Episode 173: steps = 92, reward = -488.0, global_total_steps = 20198
Episode 174: steps = 22, reward = -22.0, global_total_steps = 20220
Episode 175: steps = 80, reward = -971.0, global_total_steps = 20300
Episode 176: steps = 73, reward = -370.0, global_total_steps = 20373
Episode 177: steps = 147, reward = -1137.0, global_total_steps = 20520
Episode 178: steps = 33, reward = -231.0, global_total_steps = 20553
Episode 179: steps = 28, reward = -28.0, global_total_steps = 20581
Episode 180: steps = 51, reward = -348.0, global_total_steps = 20632
Episode 181: steps = 31, reward = -130.0, global_total_steps = 20663
Episode 182: steps = 27, reward = -126.0, global_total_steps = 20690
Episode 183: steps = 47, reward = -344.0, global_total_steps = 20737
Episode 184: steps = 22, reward = -22.0, global_total_steps = 20759
Episode 185: steps = 155, reward = -1343.0, global_total_steps = 20914
Episode 186: steps = 64, reward = -361.0, global_total_steps = 20978
Episode 187: steps = 26, reward = -125.0, global_total_steps = 21004
Episode 188: steps = 24, reward = -24.0, global_total_steps = 21028
Episode 189: steps = 40, reward = -139.0, global_total_steps = 21068
Episode 190: steps = 30, reward = -30.0, global_total_steps = 21098
Episode 191: steps = 66, reward = -561.0, global_total_steps = 21164
Episode 192: steps = 27, reward = -27.0, global_total_steps = 21191
Episode 193: steps = 66, reward = -561.0, global_total_steps = 21257
Episode 194: steps = 80, reward = -377.0, global_total_steps = 21337
Episode 195: steps = 24, reward = -24.0, global_total_steps = 21361
Episode 196: steps = 56, reward = -353.0, global_total_steps = 21417
Episode 197: steps = 65, reward = -659.0, global_total_steps = 21482
Episode 198: steps = 96, reward = -789.0, global_total_steps = 21578
Episode 199: steps = 22, reward = -22.0, global_total_steps = 21600
Episode 200: steps = 55, reward = -352.0, global_total_steps = 21655
Episode 201: steps = 45, reward = -243.0, global_total_steps = 21700
Episode 202: steps = 74, reward = -371.0, global_total_steps = 21774
Episode 203: steps = 47, reward = -344.0, global_total_steps = 21821
Episode 204: steps = 22, reward = -22.0, global_total_steps = 21843
Episode 205: steps = 24, reward = -24.0, global_total_steps = 21867
Episode 206: steps = 44, reward = -341.0, global_total_steps = 21911
Episode 207: steps = 22, reward = -22.0, global_total_steps = 21933
Episode 208: steps = 24, reward = -24.0, global_total_steps = 21957
Episode 209: steps = 27, reward = -225.0, global_total_steps = 21984
Episode 210: steps = 73, reward = -469.0, global_total_steps = 22057
Episode 211: steps = 31, reward = -130.0, global_total_steps = 22088
Episode 212: steps = 38, reward = -236.0, global_total_steps = 22126
Episode 213: steps = 27, reward = -126.0, global_total_steps = 22153
Episode 214: steps = 43, reward = -142.0, global_total_steps = 22196
Episode 215: steps = 40, reward = -139.0, global_total_steps = 22236
Episode 216: steps = 85, reward = -877.0, global_total_steps = 22321
Episode 217: steps = 22, reward = -22.0, global_total_steps = 22343
Episode 218: steps = 26, reward = -26.0, global_total_steps = 22369
Episode 219: steps = 32, reward = -131.0, global_total_steps = 22401
Episode 220: steps = 46, reward = -244.0, global_total_steps = 22447
Episode 221: steps = 26, reward = -26.0, global_total_steps = 22473
Episode 222: steps = 29, reward = -227.0, global_total_steps = 22502
Episode 223: steps = 70, reward = -466.0, global_total_steps = 22572
Episode 224: steps = 26, reward = -224.0, global_total_steps = 22598
Episode 225: steps = 26, reward = -26.0, global_total_steps = 22624
Episode 226: steps = 26, reward = -224.0, global_total_steps = 22650
Episode 227: steps = 54, reward = -252.0, global_total_steps = 22704
Episode 228: steps = 27, reward = -126.0, global_total_steps = 22731
Episode 229: steps = 22, reward = -22.0, global_total_steps = 22753
Episode 230: steps = 28, reward = -28.0, global_total_steps = 22781
Episode 231: steps = 52, reward = -349.0, global_total_steps = 22833
Episode 232: steps = 93, reward = -588.0, global_total_steps = 22926
Episode 233: steps = 27, reward = -126.0, global_total_steps = 22953
Episode 234: steps = 30, reward = -129.0, global_total_steps = 22983
Episode 235: steps = 24, reward = -24.0, global_total_steps = 23007
Episode 236: steps = 22, reward = -22.0, global_total_steps = 23029
Episode 237: steps = 68, reward = -761.0, global_total_steps = 23097
Episode 238: steps = 61, reward = -259.0, global_total_steps = 23158
Episode 239: steps = 26, reward = -26.0, global_total_steps = 23184
Episode 240: steps = 42, reward = -141.0, global_total_steps = 23226
Episode 241: steps = 26, reward = -26.0, global_total_steps = 23252
Episode 242: steps = 24, reward = -24.0, global_total_steps = 23276
Episode 243: steps = 56, reward = -254.0, global_total_steps = 23332
Episode 244: steps = 41, reward = -140.0, global_total_steps = 23373
Episode 245: steps = 36, reward = -234.0, global_total_steps = 23409
Episode 246: steps = 68, reward = -464.0, global_total_steps = 23477
Episode 247: steps = 50, reward = -248.0, global_total_steps = 23527
Episode 248: steps = 70, reward = -862.0, global_total_steps = 23597
Episode 249: steps = 24, reward = -24.0, global_total_steps = 23621
Episode 250: steps = 22, reward = -22.0, global_total_steps = 23643
Episode 251: steps = 22, reward = -22.0, global_total_steps = 23665
Episode 252: steps = 26, reward = -26.0, global_total_steps = 23691
Episode 253: steps = 22, reward = -22.0, global_total_steps = 23713
Episode 254: steps = 31, reward = -130.0, global_total_steps = 23744
Episode 255: steps = 42, reward = -240.0, global_total_steps = 23786
Episode 256: steps = 138, reward = -1326.0, global_total_steps = 23924
Episode 257: steps = 27, reward = -126.0, global_total_steps = 23951
Episode 258: steps = 64, reward = -559.0, global_total_steps = 24015
Episode 259: steps = 28, reward = -226.0, global_total_steps = 24043
Episode 260: steps = 41, reward = -140.0, global_total_steps = 24084
Episode 261: steps = 22, reward = -22.0, global_total_steps = 24106
Episode 262: steps = 26, reward = -26.0, global_total_steps = 24132
Episode 263: steps = 26, reward = -26.0, global_total_steps = 24158
Episode 264: steps = 33, reward = -132.0, global_total_steps = 24191
Episode 265: steps = 67, reward = -463.0, global_total_steps = 24258
Episode 266: steps = 45, reward = -342.0, global_total_steps = 24303
Episode 267: steps = 101, reward = -893.0, global_total_steps = 24404
Episode 268: steps = 24, reward = -123.0, global_total_steps = 24428
Episode 269: steps = 86, reward = -977.0, global_total_steps = 24514
Episode 270: steps = 73, reward = -667.0, global_total_steps = 24587
Episode 271: steps = 22, reward = -22.0, global_total_steps = 24609
Episode 272: steps = 43, reward = -142.0, global_total_steps = 24652
Episode 273: steps = 68, reward = -464.0, global_total_steps = 24720
Episode 274: steps = 24, reward = -24.0, global_total_steps = 24744
Episode 275: steps = 97, reward = -592.0, global_total_steps = 24841
Episode 276: steps = 22, reward = -22.0, global_total_steps = 24863
Episode 277: steps = 22, reward = -22.0, global_total_steps = 24885
Episode 278: steps = 26, reward = -125.0, global_total_steps = 24911
Episode 279: steps = 22, reward = -22.0, global_total_steps = 24933
Episode 280: steps = 127, reward = -820.0, global_total_steps = 25060
Episode 281: steps = 88, reward = -583.0, global_total_steps = 25148
Episode 282: steps = 43, reward = -142.0, global_total_steps = 25191
Episode 283: steps = 24, reward = -24.0, global_total_steps = 25215
Episode 284: steps = 62, reward = -359.0, global_total_steps = 25277
Episode 285: steps = 22, reward = -22.0, global_total_steps = 25299
Episode 286: steps = 31, reward = -130.0, global_total_steps = 25330
Episode 287: steps = 22, reward = -22.0, global_total_steps = 25352
Episode 288: steps = 57, reward = -354.0, global_total_steps = 25409
Episode 289: steps = 59, reward = -257.0, global_total_steps = 25468
Episode 290: steps = 34, reward = -133.0, global_total_steps = 25502
Episode 291: steps = 40, reward = -238.0, global_total_steps = 25542
Episode 292: steps = 49, reward = -247.0, global_total_steps = 25591
Episode 293: steps = 36, reward = -234.0, global_total_steps = 25627
Episode 294: steps = 24, reward = -24.0, global_total_steps = 25651
Episode 295: steps = 53, reward = -548.0, global_total_steps = 25704
Episode 296: steps = 24, reward = -24.0, global_total_steps = 25728
Episode 297: steps = 26, reward = -26.0, global_total_steps = 25754
Episode 298: steps = 22, reward = -22.0, global_total_steps = 25776
Episode 299: steps = 41, reward = -239.0, global_total_steps = 25817
Episode 300: steps = 46, reward = -343.0, global_total_steps = 25863
Episode 301: steps = 41, reward = -140.0, global_total_steps = 25904
Episode 302: steps = 22, reward = -22.0, global_total_steps = 25926
Episode 303: steps = 124, reward = -916.0, global_total_steps = 26050
Episode 304: steps = 22, reward = -22.0, global_total_steps = 26072
Episode 305: steps = 62, reward = -359.0, global_total_steps = 26134
Episode 306: steps = 24, reward = -24.0, global_total_steps = 26158
Episode 307: steps = 23, reward = -122.0, global_total_steps = 26181
Episode 308: steps = 29, reward = -326.0, global_total_steps = 26210
Episode 309: steps = 24, reward = -24.0, global_total_steps = 26234
Episode 310: steps = 22, reward = -22.0, global_total_steps = 26256
Episode 311: steps = 30, reward = -129.0, global_total_steps = 26286
Episode 312: steps = 26, reward = -125.0, global_total_steps = 26312
Episode 313: steps = 69, reward = -564.0, global_total_steps = 26381
Episode 314: steps = 57, reward = -453.0, global_total_steps = 26438
Episode 315: steps = 22, reward = -22.0, global_total_steps = 26460
Episode 316: steps = 75, reward = -570.0, global_total_steps = 26535
Episode 317: steps = 47, reward = -245.0, global_total_steps = 26582
Episode 318: steps = 51, reward = -447.0, global_total_steps = 26633
Episode 319: steps = 70, reward = -466.0, global_total_steps = 26703
Episode 320: steps = 46, reward = -244.0, global_total_steps = 26749
Episode 321: steps = 64, reward = -361.0, global_total_steps = 26813
Episode 322: steps = 22, reward = -22.0, global_total_steps = 26835
Episode 323: steps = 77, reward = -671.0, global_total_steps = 26912
Episode 324: steps = 44, reward = -440.0, global_total_steps = 26956
Episode 325: steps = 28, reward = -28.0, global_total_steps = 26984
Episode 326: steps = 47, reward = -344.0, global_total_steps = 27031
Episode 327: steps = 22, reward = -22.0, global_total_steps = 27053
Episode 328: steps = 99, reward = -594.0, global_total_steps = 27152
Episode 329: steps = 39, reward = -336.0, global_total_steps = 27191
Episode 330: steps = 53, reward = -350.0, global_total_steps = 27244
Episode 331: steps = 123, reward = -1113.0, global_total_steps = 27367
Episode 332: steps = 41, reward = -140.0, global_total_steps = 27408
Episode 333: steps = 44, reward = -143.0, global_total_steps = 27452
Episode 334: steps = 72, reward = -567.0, global_total_steps = 27524
Episode 335: steps = 51, reward = -348.0, global_total_steps = 27575
Episode 336: steps = 22, reward = -22.0, global_total_steps = 27597
Episode 337: steps = 22, reward = -22.0, global_total_steps = 27619
Episode 338: steps = 22, reward = -22.0, global_total_steps = 27641
Episode 339: steps = 22, reward = -22.0, global_total_steps = 27663
Episode 340: steps = 60, reward = -258.0, global_total_steps = 27723
Episode 341: steps = 29, reward = -128.0, global_total_steps = 27752
Episode 342: steps = 43, reward = -142.0, global_total_steps = 27795
Episode 343: steps = 24, reward = -24.0, global_total_steps = 27819
Episode 344: steps = 41, reward = -338.0, global_total_steps = 27860
Episode 345: steps = 24, reward = -24.0, global_total_steps = 27884
Episode 346: steps = 37, reward = -136.0, global_total_steps = 27921
Episode 347: steps = 84, reward = -678.0, global_total_steps = 28005
Episode 348: steps = 31, reward = -130.0, global_total_steps = 28036
Episode 349: steps = 44, reward = -242.0, global_total_steps = 28080
Episode 350: steps = 24, reward = -24.0, global_total_steps = 28104
Episode 351: steps = 34, reward = -133.0, global_total_steps = 28138
Episode 352: steps = 29, reward = -227.0, global_total_steps = 28167
Episode 353: steps = 42, reward = -240.0, global_total_steps = 28209
Episode 354: steps = 40, reward = -535.0, global_total_steps = 28249
Episode 355: steps = 148, reward = -1435.0, global_total_steps = 28397
Episode 356: steps = 26, reward = -26.0, global_total_steps = 28423
Episode 357: steps = 40, reward = -139.0, global_total_steps = 28463
Episode 358: steps = 46, reward = -244.0, global_total_steps = 28509
Episode 359: steps = 46, reward = -244.0, global_total_steps = 28555
Episode 360: steps = 44, reward = -143.0, global_total_steps = 28599
Episode 361: steps = 24, reward = -123.0, global_total_steps = 28623
Episode 362: steps = 59, reward = -257.0, global_total_steps = 28682
Episode 363: steps = 76, reward = -571.0, global_total_steps = 28758
Episode 364: steps = 22, reward = -22.0, global_total_steps = 28780
Episode 365: steps = 71, reward = -566.0, global_total_steps = 28851
Episode 366: steps = 44, reward = -341.0, global_total_steps = 28895
Episode 367: steps = 30, reward = -129.0, global_total_steps = 28925
Episode 368: steps = 58, reward = -454.0, global_total_steps = 28983
Episode 369: steps = 66, reward = -462.0, global_total_steps = 29049
Episode 370: steps = 63, reward = -558.0, global_total_steps = 29112
Episode 371: steps = 59, reward = -554.0, global_total_steps = 29171
Episode 372: steps = 63, reward = -459.0, global_total_steps = 29234
Episode 373: steps = 24, reward = -24.0, global_total_steps = 29258
Episode 374: steps = 50, reward = -248.0, global_total_steps = 29308
Episode 375: steps = 47, reward = -344.0, global_total_steps = 29355
Episode 376: steps = 77, reward = -671.0, global_total_steps = 29432
Episode 377: steps = 22, reward = -22.0, global_total_steps = 29454
Episode 378: steps = 22, reward = -22.0, global_total_steps = 29476
Episode 379: steps = 51, reward = -249.0, global_total_steps = 29527
Episode 380: steps = 23, reward = -122.0, global_total_steps = 29550
Episode 381: steps = 30, reward = -30.0, global_total_steps = 29580
Episode 382: steps = 22, reward = -22.0, global_total_steps = 29602
Episode 383: steps = 37, reward = -136.0, global_total_steps = 29639
Episode 384: steps = 52, reward = -349.0, global_total_steps = 29691
Episode 385: steps = 27, reward = -126.0, global_total_steps = 29718
Episode 386: steps = 22, reward = -22.0, global_total_steps = 29740
Episode 387: steps = 130, reward = -1120.0, global_total_steps = 29870
Episode 388: steps = 42, reward = -240.0, global_total_steps = 29912
Episode 389: steps = 22, reward = -22.0, global_total_steps = 29934
Episode 390: steps = 26, reward = -26.0, global_total_steps = 29960
Episode 391: steps = 43, reward = -241.0, global_total_steps = 30003
Episode 392: steps = 24, reward = -24.0, global_total_steps = 30027
Episode 393: steps = 26, reward = -26.0, global_total_steps = 30053
Episode 394: steps = 33, reward = -132.0, global_total_steps = 30086
Episode 395: steps = 33, reward = -132.0, global_total_steps = 30119
Episode 396: steps = 54, reward = -351.0, global_total_steps = 30173
Episode 397: steps = 45, reward = -441.0, global_total_steps = 30218
Episode 398: steps = 116, reward = -809.0, global_total_steps = 30334
Episode 399: steps = 24, reward = -24.0, global_total_steps = 30358
Episode 400: steps = 28, reward = -28.0, global_total_steps = 30386
Episode 401: steps = 46, reward = -145.0, global_total_steps = 30432
Episode 402: steps = 69, reward = -564.0, global_total_steps = 30501
Episode 403: steps = 25, reward = -25.0, global_total_steps = 30526
Episode 404: steps = 49, reward = -247.0, global_total_steps = 30575
Episode 405: steps = 77, reward = -572.0, global_total_steps = 30652
Episode 406: steps = 44, reward = -143.0, global_total_steps = 30696
Episode 407: steps = 24, reward = -24.0, global_total_steps = 30720
Episode 408: steps = 40, reward = -337.0, global_total_steps = 30760
Episode 409: steps = 45, reward = -243.0, global_total_steps = 30805
Episode 410: steps = 40, reward = -238.0, global_total_steps = 30845
Episode 411: steps = 22, reward = -22.0, global_total_steps = 30867
Episode 412: steps = 22, reward = -22.0, global_total_steps = 30889
Episode 413: steps = 28, reward = -127.0, global_total_steps = 30917
Episode 414: steps = 22, reward = -22.0, global_total_steps = 30939
Episode 415: steps = 48, reward = -147.0, global_total_steps = 30987
Episode 416: steps = 45, reward = -243.0, global_total_steps = 31032
Episode 417: steps = 26, reward = -125.0, global_total_steps = 31058
Episode 418: steps = 22, reward = -22.0, global_total_steps = 31080
Episode 419: steps = 44, reward = -242.0, global_total_steps = 31124
